Revenue,Services
targetCollectionv3,targetCollectionv3
totalCollectionv3,cumulativePropertiesAssessedv3
todaysCollectionv3,totalPropertiesv3
avgTaxCollectedPerProperty,bottomPerformingStatesCompletionRatev3
targetAchievedv3,nssPtSlaAchieved
cumulativeCollectionv3,totalApplicationsv3
collectionByUsageTypev3,topPerformingStatesCompletionRatev3
bottomPerformingStatesv3,totalAssessmentv3
topPerformingStatesv3,propertiesAssessedv3
demandCollectionIndexStatesRevenuev3,completionRateV3
taxHeadsBreakupStatesRevenuev3,propertiesByUsageTypev3
,xptFyByStatesv3
,nssPtCitizenFeedbackScore
,xptFyByStatesv3
,nssPtPendancy
,nssPtCitizenServiceDeliveryIndex
